sentence_markdown,normalizedSurface,grundform,family,kind
Am [nächsten] Morgen war alles anders.,nächsten,Not Grundform,Lexeme,ADJ
Am nächsten Morgen war alles [anders].,anders,Undetermined,Lexeme,ADJ
Auf der Karte sind drei [Seen] eingezeichnet.,Seen,Not Grundform,Lexeme,NOUN
Auf der Karte sind drei Seen [eingezeichnet].,eingezeichnet,Grundform,Lexeme,ADJ
Bei dieser Formel verstehe ich nur [Bahnhof].,verstehe nur Bahnhof,Not Grundform,Phraseme,Idiom
Bitte folgen Sie [Ihrem] Ansprechpartner.,Ihrem,Not Grundform,Lexeme,DET
Damit triffst du den [Nagel] auf den Kopf.,den nagel auf den kopf,Not Grundform,Phraseme,Idiom
Das ist [nicht] mein Problem.,nicht,Grundform,Lexeme,PART
Das ist schwer [zu] erklären.,zu,Grundform,Lexeme,PART
Das [muss] heute noch raus.,muss,Not Grundform,Lexeme,VERB
Das muss heute noch [raus].,raus,Undetermined,Lexeme,ADV
Das [Rennen] hat Spaß gemacht.,Rennen,Grundform,Lexeme,NOUN
Das rote [Band] lag auf dem Geschenk.,Band,Grundform,Lexeme,NOUN
Das rote Band [lag] auf dem Geschenk.,lag,Not Grundform,Lexeme,VERB
Das rote Band lag [auf] dem Geschenk.,auf,Grundform,Lexeme,ADP
Das [Schloss] an der Tür klemmt.,Schloss,Grundform,Lexeme,NOUN
Das [Schloss] über dem Fluss wurde renoviert.,Schloss,Grundform,Lexeme,NOUN
Das [Un]- in Unkosten wirkt historisch irritierend.,Un,Grundform,Morpheme,Prefix
Das [wäre] fast schief gewesen.,wäre,Not Grundform,Lexeme,AUX
Das wäre [fast] schief gewesen.,fast,Undetermined,Lexeme,ADV
Das wäre fast schief [gewesen].,gewesen,Not Grundform,Lexeme,AUX
Das wäre schön [gewesen].,gewesen,Not Grundform,Lexeme,AUX
"Der Autor, [dessen] Buch fehlt, wartet draußen.",dessen,Grundform,Lexeme,PRON
Der Brief ist schon [geschrieben].,geschrieben,Grundform,Lexeme,ADJ
Der dritte [Band] ist längst vergriffen.,Band,Grundform,Lexeme,NOUN
Der Fährmann hat uns [übergesetzt].,übergesetzt,Not Grundform,Lexeme,VERB
Der [geschriebene] Brief lag auf dem Tisch.,geschriebene,Not Grundform,Lexeme,ADJ
Der hockte da im grünen Gras; dem [floß] der Kaffee auf die Nas.,floß,Not Grundform,Lexeme,VERB
Der hockte da im grünen Gras; dem floß der Kaffee [auf] die Nas.,auf,Grundform,Lexeme,ADP
Der [Kiefer] schmerzte nach der Operation.,Kiefer,Grundform,Lexeme,NOUN
Der [lachende] Junge winkte uns zu.,lachende,Not Grundform,Lexeme,ADJ
Der Laster [fuhr] das Schild um.,fuhr um,Not Grundform,Lexeme,VERB
Der [Leiter] der Werkstatt kam später.,Leiter,Grundform,Lexeme,NOUN
Der [reisende] Händler wartete draußen.,reisende,Not Grundform,Lexeme,ADJ
Der [Reisende] wartete draußen.,Reisende,Grundform,Lexeme,NOUN
Der von allen [bewunderte] Lehrer ging in den Ruhestand.,bewunderte,Not Grundform,Lexeme,ADJ
Die alte [Kiefer] steht am Hang.,Kiefer,Grundform,Lexeme,NOUN
Die [Angestellten] streikten gestern.,Angestellten,Not Grundform,Lexeme,NOUN
Die auf ihn [abgestimmte] Lösung half sofort.,abgestimmte,Not Grundform,Lexeme,ADJ
Die Aufgabe bleibt [ungelöst].,ungelöst,Grundform,Lexeme,ADJ
Die [Band] spielt heute im Kellerclub.,Band,Grundform,Lexeme,NOUN
Die [eingezeichneten] Seen sind jetzt besser zu sehen.,eingezeichneten,Not Grundform,Lexeme,ADJ
Die [gekochten] Kartoffeln standen schon bereit.,gekochten,Not Grundform,Lexeme,ADJ
Die Kartoffeln sind bereits [gekocht].,gekocht,Grundform,Lexeme,ADJ
Die [Leiter] wackelte auf dem nassen Boden.,Leiter,Grundform,Lexeme,NOUN
Die [linke] Hand zitterte.,linke,Not Grundform,Lexeme,ADJ
Die mit Bleistift [geschriebene] Notiz lag noch auf dem Tisch.,geschriebene,Not Grundform,Lexeme,ADJ
Die [Mutter] passt nicht auf diese Schraube.,Mutter,Grundform,Lexeme,NOUN
Die [Peitsche] hat er mitgebracht und nimmt sie sorglich sehr in acht.,Peitsche,Not Grundform,Lexeme,NOUN
Die Peitsche [hat] er mitgebracht und nimmt sie sorglich sehr in acht.,hat mitgebracht,Not Grundform,Lexeme,VERB
Die Peitsche hat [er] mitgebracht und nimmt sie sorglich sehr in acht.,er,Grundform,Lexeme,PRON
Die Peitsche hat er [mitgebracht] und nimmt sie sorglich sehr in acht.,hat mitgebracht,Not Grundform,Lexeme,VERB
Die Peitsche hat er mitgebracht [und] nimmt sie sorglich sehr in acht.,und,Grundform,Lexeme,CCONJ
Die Peitsche hat er mitgebracht und [nimmt] sie sorglich sehr in acht.,nimmt,Not Grundform,Phraseme,Idiom
Die Peitsche hat er mitgebracht und nimmt [sie] sorglich sehr in acht.,sie,Grundform,Lexeme,PRON
Die Peitsche hat er mitgebracht und nimmt sie [sorglich] sehr in acht.,sorglich,Undetermined,Lexeme,ADV
Die Peitsche hat er mitgebracht und nimmt sie sorglich [sehr] in acht.,sehr,Undetermined,Lexeme,ADV
Die Peitsche hat er mitgebracht und nimmt sie sorglich sehr [in] acht.,in acht,Not Grundform,Phraseme,Idiom
Die Peitsche hat er mitgebracht und nimmt sie sorglich sehr in [acht].,in acht,Not Grundform,Phraseme,Idiom
Die [schlafenden] Kinder wurden nicht geweckt.,schlafenden,Not Grundform,Lexeme,ADJ
Die schoß das Häschen ganz [entzwei]; da rief die Frau: »O wei! O wei!«,entzwei,Undetermined,Lexeme,ADJ
Die schoß das Häschen ganz entzwei; da rief die Frau: »[O] wei! O wei!«,o wei,Grundform,Phraseme,DiscourseFormula
Die schoß das Häschen ganz entzwei; da rief die Frau: »O [wei]! O wei!«,o wei,Grundform,Phraseme,DiscourseFormula
Die Tür ist [geschlossen].,geschlossen,Grundform,Lexeme,ADJ
"Die Zeugin, [deren] Aussage zählt, bleibt anonym.",deren,Grundform,Lexeme,PRON
Ein [interessierter] Leser fragte nach.,interessierter,Not Grundform,Lexeme,ADJ
Ein [Verletzter] lag am Straßenrand.,Verletzter,Grundform,Lexeme,NOUN
[Einst] ging er an Ufers Rand mit der Mappe in der Hand.,einst,Undetermined,Lexeme,ADV
Einst [ging] er an Ufers Rand mit der Mappe in der Hand.,ging,Not Grundform,Lexeme,VERB
Einst ging er [an] Ufers Rand mit der Mappe in der Hand.,an,Grundform,Lexeme,ADP
Einst ging er an [Ufers] Rand mit der Mappe in der Hand.,Ufers,Not Grundform,Lexeme,NOUN
Einst ging er an Ufers [Rand] mit der Mappe in der Hand.,Rand,Undetermined,Lexeme,NOUN
Er ist [stolz] auf seinen Sohn.,stolz,Grundform,Lexeme,ADJ
Er lief erst nach links und dann [hinaus].,hinaus,Undetermined,Lexeme,ADV
Er [muss] heute arbeiten.,muss,Not Grundform,Lexeme,AUX
Er saß [schweigend] am Fenster.,schweigend,Grundform,Lexeme,ADJ
Er vergaß [seinen] Schlüssel im Büro.,seinen,Not Grundform,Lexeme,DET
"Er versucht, [hinauszulaufen].",hinauszulaufen,Not Grundform,Lexeme,VERB
Er [wartet] auf den Nachtbus.,wartet,Not Grundform,Lexeme,VERB
Er [wog] vielleicht ein halbes Lot – und war am fünften Tage tot. ,wog,Not Grundform,Lexeme,VERB
Er wog vielleicht ein halbes [Lot] – und war am fünften Tage tot. ,Lot,Not Grundform,Lexeme,NOUN
Er wog vielleicht ein halbes Lot – und [war] am fünften Tage tot. ,war,Not Grundform,Lexeme,AUX
Er wog vielleicht ein halbes Lot – und war am [fünften] Tage tot. ,fünften,Not Grundform,Lexeme,ADJ
Er wog vielleicht ein halbes Lot – und war am fünften Tage [tot]. ,tot,Undetermined,Lexeme,ADJ
"[Es] brennt die Hand, es brennt das Haar, es brennt das ganze Kind sogar.",es,Grundform,Lexeme,PRON
"Es brennt die Hand, es brennt das Haar, es brennt das [ganze] Kind sogar.",ganze,Not Grundform,Lexeme,ADJ
"Es brennt die Hand, es brennt das Haar, es brennt das ganze Kind [sogar].",sogar,Undetermined,Lexeme,ADV
[Es] zog der wilde Jägersmann sein grasgrün neues Röcklein an;,es,Grundform,Lexeme,PRON
Es [zog] der wilde Jägersmann sein grasgrün neues Röcklein an;,zog an,Not Grundform,Lexeme,VERB
Es zog der wilde Jägersmann sein grasgrün neues Röcklein [an];,zog an,Not Grundform,Lexeme,VERB
[Fort] geht nun die Mutter und wupp! den Daumen in den Mund. ,fort,Undetermined,Lexeme,ADV
Fort geht nun die Mutter und [wupp]! den Daumen in den Mund. ,wupp,Grundform,Lexeme,INTJ
[Geh] bitte nicht ohne Jacke raus.,geh,Not Grundform,Lexeme,VERB
Genau da liegt der [Hase] im Pfeffer.,da liegt der hase im pfeffer,Not Grundform,Phraseme,Idiom
"[Guten Tag], ich habe einen Termin.",Guten Tag,Grundform,Phraseme,DiscourseFormula
"Ich gehe Tomaten kaufen, um einen Salat [zu] machen.",um zu,Grundform,Lexeme,SCONJ
Ich [lasse] mir morgen die Haare schneiden.,lasse,Not Grundform,Lexeme,VERB
Ich suche einen [besseren] Ansatz.,besseren,Not Grundform,Lexeme,ADJ
Ich will mir morgen die Haare schneiden [lassen].,lassen,Grundform,Lexeme,VERB
Im Heft stand [Filosofie] statt Philosophie.,Philosophie,Grundform,Lexeme,NOUN
In Berlin betreibt die [BVG] die U-Bahn.,BVG,Undetermined,Lexeme,PROPN
In [ge]lacht markieren ge- und -t zusammen das Partizip.,ge t,Grundform,Morpheme,Circumfix
"Jetzt schien die Sonne gar zu sehr, [da] ward ihm sein Gewehr zu schwer.",da,Undetermined,Lexeme,ADV
"Jetzt schien die Sonne gar zu sehr, da [ward] ihm sein Gewehr zu schwer.",ward,Not Grundform,Lexeme,VERB
Meine [Mutter] ruft jeden Sonntag an.,Mutter,Grundform,Lexeme,NOUN
Mit den [Kindern] ist es nie langweilig.,Kindern,Not Grundform,Lexeme,NOUN
Mit [keinem] Wort erwähnte sie den Plan.,keinem,Not Grundform,Lexeme,DET
"[Morgenstund] hat Gold im Mund, sagte sie verschlafen.",morgenstund hat gold im mund,Not Grundform,Phraseme,Proverb
"[Na ja], ganz überzeugt bin ich nicht.",na ja,Grundform,Phraseme,DiscourseFormula
"Na [ja], ganz überzeugt bin ich nicht.",na ja,Grundform,Phraseme,DiscourseFormula
Nach [manchem] Fehler lernt man schneller.,manchem,Not Grundform,Lexeme,DET
"nahm Ranzen, Pulverhorn und Flint und [lief] hinaus ins Feld geschwind",lief,Not Grundform,Lexeme,VERB
"nahm Ranzen, Pulverhorn und Flint und lief [hinaus] ins Feld geschwind",hinaus,Undetermined,Lexeme,ADV
"nahm Ranzen, Pulverhorn und Flint und lief hinaus ins Feld [geschwind]",geschwind,Grundform,Lexeme,ADJ
[Pass] auf dich auf!,pass auf,Not Grundform,Lexeme,VERB
Pass [auf] dich auf!,pass auf,Not Grundform,Lexeme,VERB
Pass auf [dich] auf!,dich,Grundform,Lexeme,PRON
Pass auf dich [auf]!,pass auf,Not Grundform,Lexeme,VERB
[Schwimmen] ist gesund.,Schwimmen,Grundform,Lexeme,NOUN
Sein ständiges [Meckern] nervt.,Meckern,Grundform,Lexeme,NOUN
Sie [erinnert] sich an den Geruch.,erinnert sich,Not Grundform,Lexeme,VERB
Sie folgte ihrem [Herzen].,Herzen,Not Grundform,Lexeme,NOUN
Sie ist [verheiratet].,verheiratet,Grundform,Lexeme,ADJ
Sie kam [lachend] herein.,lachend,Grundform,Lexeme,ADJ
Sie [übersetzt] den Vertrag ins Deutsche.,übersetzt,Not Grundform,Lexeme,VERB
Sie [umfuhr] die Baustelle weiträumig.,umfuhr,Not Grundform,Lexeme,VERB
Sie wurde um Geduld [gebeten].,wurde gebeten,Not Grundform,Lexeme,VERB
"[Sieh] einmal, hier steht er, pfui, der Struwwelpeter!",sieh,Not Grundform,Lexeme,VERB
"Sieh [einmal], hier steht er, pfui, der Struwwelpeter!",einmal,Undetermined,Lexeme,ADV
"Sieh einmal, [hier] steht er, pfui, der Struwwelpeter!",hier,Undetermined,Lexeme,ADV
"Sieh einmal, hier [steht] er, pfui, der Struwwelpeter!",steht,Not Grundform,Lexeme,VERB
"Sieh einmal, hier steht [er], pfui, der Struwwelpeter!",er,Grundform,Lexeme,PRON
"Sieh einmal, hier steht er, [pfui], der Struwwelpeter!",pfui,Grundform,Lexeme,INTJ
"Sieh einmal, hier steht er, pfui, der [Struwwelpeter]!",Struwwelpeter,Grundform,Lexeme,PROPN
"Sieh [mal] an, die Kleine von nebenan.",mal,Undetermined,Lexeme,ADV
"[Tut mir leid], das war mein Fehler.",tut mir leid,Grundform,Phraseme,DiscourseFormula
"Und Minz und Maunz, [die] schreien gar jämmerlich zu zweien",die,Grundform,Lexeme,PRON
"Und Minz und Maunz, die schreien [gar] jämmerlich zu zweien",gar,Undetermined,Lexeme,ADV
"Und Minz und Maunz, die schreien gar [jämmerlich] zu zweien",jämmerlich,Grundform,Lexeme,ADJ
"Und Minz und Maunz, die schreien gar jämmerlich [zu] zweien",zu,Grundform,Lexeme,ADP
"Und Minz und Maunz, die schreien gar jämmerlich zu [zweien]",zweien,Not Grundform,Lexeme,NUM
Unter falschem [Namen] mietete er das Zimmer.,Namen,Not Grundform,Lexeme,NOUN
"[Verbrannt] ist alles ganz und gar, das arme Kind mit Haut und Haar;",verbrannt,Not Grundform,Lexeme,VERB
"Verbrannt ist alles [ganz] und gar, das arme Kind mit Haut und Haar;",ganz und gar,Undetermined,Phraseme,Idiom
"Verbrannt ist alles ganz [und] gar, das arme Kind mit Haut und Haar;",ganz und gar,Undetermined,Phraseme,Idiom
"Verbrannt ist alles ganz und [gar], das arme Kind mit Haut und Haar;",ganz und gar,Undetermined,Phraseme,Idiom
"Verbrannt ist alles ganz und gar, das arme Kind mit [Haut] und Haar;",Haut,Not Grundform,Lexeme,NOUN
"Verbrannt ist alles ganz und gar, das arme Kind mit Haut [und] Haar;",und,Grundform,Lexeme,CCONJ
"Verbrannt ist alles ganz und gar, das arme Kind mit Haut und [Haar];",Haar,Not Grundform,Lexeme,NOUN
Viele [deutschsprachigen] Quellen fehlen noch.,deutschsprachigen,Not Grundform,Lexeme,ADJ
[Viele] kamen zu spät.,viele,Grundform,Lexeme,PRON
Viele vermissen [das] alte Berlin.,das,Grundform,Lexeme,DET
Viele vermissen das alte [Berlin].,Berlin,Not Grundform,Lexeme,PROPN
[Wegen] dem Regen kamen wir zu spät.,wegen,Grundform,Lexeme,ADP
[Wer] war das?,wer,Grundform,Lexeme,PRON
"[Wer] zuerst kommt, mahlt zuerst.",wer,Grundform,Lexeme,PRON
Wir [hätten] gern mehr Zeit.,hätten,Not Grundform,Lexeme,AUX
Wir liefen den Fluss [entlang].,entlang,Grundform,Lexeme,ADP
