sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
Abso-[bloody]-lutely not.,sha256-8vCP7qfevJJ6gytKxxrrZhVIxVZyusPb1IMCjVr6vMo,"[{""attested"":""bloody"",""orthography"":""Standard""}]",Full,Expletive insertion is classified as Infix to stress an edge case that is morphologically debatable.,,
"[By and large], the migration worked.",sha256-HYk1VnVuOBmOF1QQaTPCSyiCK3u76ZWqhhjGldbn_xc,"[{""attested"":""By"",""orthography"":""Standard""},{""attested"":""and"",""orthography"":""Standard""},{""attested"":""large"",""orthography"":""Standard""}]",Full,Sentence-initial capitalization is preserved only in clicked Text.,,
Could you [wind] the old clock?,sha256-tjn07YorO8WulUUaxlmkoMs796xVt4H9Z8Ctpbj6StY,"[{""attested"":""wind"",""orthography"":""Standard""}]",Full,Wind as a verb is modeled separately from wind as weather; pronunciation contrast is outside the object.,,
Do it [like] I showed you.,sha256-4z4drquejR8--veJxlM801VvNogi8P41K6ePmYwNz-U,"[{""attested"":""like"",""orthography"":""Standard""}]",Full,Like as a subordinator is marked SCONJ with vernacular style because many registers prefer as.,,
[Does] this key open the archive?,sha256-b_xw_T26FfvV9_db0wI39RXbGwyY0876FCwRRjJGhg4,"[{""attested"":""Does"",""orthography"":""Standard""}]",Full,Sentence-initial Does keeps normalizedSurface lowercase while clicked Text preserves casing.,,
"During my [walk] in a park, I saw a squirrel.",sha256-HQomaxLHbWc9u1b1vrRle7ZyhHu5LOx6Pqf7Fh8UVys,"[{""attested"":""walk"",""orthography"":""Standard""}]",Full,,,
"For this layout, [less is more].",sha256-ByeHE5qZB_suR_wYybH9eeohZu61bwD0gKInE_g8X3o,"[{""attested"":""less"",""orthography"":""Standard""},{""attested"":""is"",""orthography"":""Standard""},{""attested"":""more"",""orthography"":""Standard""}]",Full,Less is more is treated as an aphorism rather than a proverb because it states a maxim without narrative proverb form.,,
I [definately] saved the file.,sha256-_FIjWZfxQTPhq81T1t2orsowlShQ67pCIHpGFm4f9Jc,"[{""attested"":""definately"",""orthography"":""Typo""}]",Full,"Definately is a typo of definitely; mark only `member.orthography: ""Typo""` here, not a spelling variant, because the intended resolved surface is canonical.",,
I emailed [them] yesterday.,sha256-YsmXaCmPi28Xptq9NBfpeuPPvrmDAnbBx_nbivlJaU8,"[{""attested"":""them"",""orthography"":""Standard""}]",Full,Them is an accusative surface of they; singular-they readings are not separately encoded.,,
I know [that] you tried.,sha256-Bm-BNDL456Kf_IAnHEzZavJ-9v7hOzS_qFNRI4qwptk,"[{""attested"":""that"",""orthography"":""Standard""}]",Full,"Complementizer that is SCONJ; no clause-type feature exists, so POS carries the distinction.",,
I [saw] the comet through binoculars.,sha256-H3yd1MJBEeDcqGvjQEodNFv6A4jSgDOHDS8ZYouKNTc,"[{""attested"":""saw"",""orthography"":""Standard""}]",Full,"Saw is the past finite surface of see, not the citation noun saw.",,
"If I [were] you, I would wait.",sha256-yCIADupIutZzsNSpqKd5y4vSoeKmlsF3OWTv6hLXlpA,"[{""attested"":""were"",""orthography"":""Standard""}]",Full,Were in if I were you is AUX with Mood=Sub; the schema allows mood without forcing person or number.,,
I'[ll] call when I arrive.,sha256-kGlE-Y_IhwYTiUgLNQCoqpNKlw5uXOXiCaLxSGvj9Qg,"[{""attested"":""ll"",""orthography"":""Standard""}]",Full,"The apostrophe is outside the selected substring, so `surface.spelling: ""Variant""` marks the mismatch against the clitic lemma.",,
Is [OK] still acceptable here?,sha256-aTq90B56Qz38THvrTe9B0UJTWqyR4hRL_81fimPeogY,"[{""attested"":""OK"",""orthography"":""Standard""}]",Full,OK is treated as a standard spelling variant of the canonical lemma okay.,,
Mira finally [spilled] the beans.,sha256-2dm9yek8SI_wI6kqOdWipvR94r4vTJnjFsnzLgoKAhk,"[{""attested"":""spilled"",""orthography"":""Standard""},{""attested"":""the"",""orthography"":""Standard""},{""attested"":""beans"",""orthography"":""Standard""}]",Full,"The Full Attestation records spilled, the, and beans as the complete idiom occurrence; the docs review span remains on spilled only.",,
"Move [that] chair, please.",sha256-eVEMzoF4Zgh_Crb3P1opKojGM_iKUe_N0UuWBoqbv3E,"[{""attested"":""that"",""orthography"":""Standard""}]",Full,"That before a noun is DET, distinct from pronominal and complementizer that.",,
"[My bad], I merged the wrong branch.",sha256-0S6BckUMIdgkjY8B5FkbY9926VBoC5gWrWtNRIK8ivk,"[{""attested"":""My"",""orthography"":""Standard""},{""attested"":""bad"",""orthography"":""Standard""}]",Full,"My bad is categorized by discourse function Apology, not by the adjective bad.",,
"[No worries], I already fixed it.",sha256-OItX1TdmoD391nQY6ZQ9CP3MOcL0bAYfpsVc4rqwKfw,"[{""attested"":""No"",""orthography"":""Standard""},{""attested"":""worries"",""orthography"":""Standard""}]",Full,No worries is a discourse formula rather than compositional negation plus noun.,,
Please [lead] the discussion today.,sha256-6dP816F5lMXJSWBvy6lc8rcTuyWefqFPAihNsBxUA5E,"[{""attested"":""lead"",""orthography"":""Standard""}]",Full,Verb lead is kept separate from noun lead despite identical spelling.,,
Please [look] it up before replying.,sha256-kfSXGibNcnF6XvbNJU-66fNjkPcw1HG_aX6Ig45GWQ8,"[{""attested"":""look"",""orthography"":""Standard""},{""attested"":""up"",""orthography"":""Standard""}]",Full,The Full Attestation records both source-ordered members of the discontinuous phrasal verb look ... up; the docs review span remains on look only.,,
"Remember, the [early bird] catches the worm.",sha256-U7bFlxOyd9puQFILim8rjrGd4MnlIutRGSVcTI2BZ6Y,"[{""attested"":""the"",""orthography"":""Standard""},{""attested"":""early"",""orthography"":""Standard""},{""attested"":""bird"",""orthography"":""Standard""},{""attested"":""catches"",""orthography"":""Standard""},{""attested"":""the"",""orthography"":""Standard""},{""attested"":""worm"",""orthography"":""Standard""}]",Full,The Full Attestation records every member of the proverb occurrence; the docs review span remains on the salient fragment early bird.,,
[Running] before breakfast clears my head.,sha256-g0YYe-cOWncPKfNw-NSifshzRxX0rLuASCq5lfb3DOg,"[{""attested"":""Running"",""orthography"":""Standard""}]",Full,"Gerund running is a VERB inflection, not a noun, despite occupying a nominal clause position.",,
[See] you later at the station.,sha256-qjrHj7yjHzm-k6GGXcbzkSR7PxSq_fkEdhqcrxHD36Q,"[{""attested"":""See"",""orthography"":""Standard""},{""attested"":""you"",""orthography"":""Standard""},{""attested"":""later"",""orthography"":""Standard""}]",Full,"Only See is selected, but the intended formula is see you later.",,
Send the [e-mail] before noon.,sha256-0wkHnzkjMju9nK-6O3UO0Abl08WnhKlBWXpUTOxiLNg,"[{""attested"":""e-mail"",""orthography"":""Standard""}]",Full,"Hyphenated e-mail is a standard variant of email, not a typo.",,
She gave [up] after midnight.,sha256-SvoTndSoHiJVD6hFOoBItd_YBuk4WRvDZsS7NY8lkvE,"[{""attested"":""gave"",""orthography"":""Standard""},{""attested"":""up"",""orthography"":""Standard""}]",Full,Clicking the particle resolves the complete phrasal-verb occurrence `gave up`; the click is one member of that Surface.,,
She performed [best] under pressure.,sha256-1EtUPx6NOzbMDdYDvrIRwV3r5406pIwChGHu2gFzZcc,"[{""attested"":""best"",""orthography"":""Standard""}]",Full,"Best is modeled as a superlative adverb here, not an adjective, because it modifies performed.",,
Tag the issue with [#] before the number.,sha256-_Qq544QN3_Gvowu0KLaCbcUQh70cXWZk7KpLNjUjv_I,"[{""attested"":""#"",""orthography"":""Standard""}]",Full,"The symbol surface # points to a worded canonical lemma, number sign.",,
That answer was [un]believable.,sha256-I3ZkDNIZucraj8T7s9DuH9Un5qjUO2nxnAa9HOIrXu0,"[{""attested"":""un"",""orthography"":""Standard""}]",Full,"The attested prefix omits the canonical-form hyphen under a licensed Variant Surface, so the exact member un fully realizes that Surface.",,
[That] was unexpected.,sha256-Z4h-uE8QE5z7YSMv_eaKlk5DQ1nyC9GdZAK_LcLsqX8,"[{""attested"":""That"",""orthography"":""Standard""}]",Full,Standalone that is PRON; it shares its surface spelling with the DET and SCONJ examples.,,
The [bio]reactor failed overnight.,sha256-u1PBAtHEQkMq3F2Mvn1ZrumXP8GjM6ZyRy7b8Qm2ges,"[{""attested"":""bio"",""orthography"":""Standard""}]",Full,"Bio is modeled as a bound root in bioreactor, not as a free clipping of biography.",,
The [data] are still inconsistent.,sha256-GmafEvx6vZ18fAh5WVdsPZ90fjm2mJ1iWdXTtT87bpI,"[{""attested"":""data"",""orthography"":""Standard""}]",Full,"Data is treated as a plural inflection of datum, even though contemporary usage often treats data as mass or singular.",,
The estimate was thirty[ish] minutes.,sha256-5-17rFwWdB3PIDN_A26mIxUynx87gm71UvWpAZwj-iU,"[{""attested"":""ish"",""orthography"":""Standard""}]",Full,"The suffix citation includes a leading hyphen, while the attested substring omits it.",,
The note was [written] in pencil.,sha256-PV2GQGWlWUZ7oUrHM5HD2928wx0U7UR-64k2z8798Fs,"[{""attested"":""written"",""orthography"":""Standard""}]",Full,Voice=Pass is context-sensitive for English participles; it is included to test whether the model accepts contextual morphology.,,
The old laptop finally [kicked] the bucket.,sha256-SL8-GpOXB_3-tnR0DYJ3Dx-xaCXUSWpfmTVMUHIrK68,"[{""attested"":""kicked"",""orthography"":""Standard""},{""attested"":""the"",""orthography"":""Standard""},{""attested"":""bucket"",""orthography"":""Standard""}]",Full,"The verb is inflected in the sentence, while the idiom resolves to a Citation Surface linked to its Phraseme Lemma.",,
The pipe contained traces of [lead].,sha256-e4Kpt9YYZY5SCBEByvWEHb-NWEzW6igbr9rfVWzj6R0,"[{""attested"":""lead"",""orthography"":""Standard""}]",Full,Material lead is a noun lexeme; pronunciation is not represented in the current model.,,
The plane will [take] off at dawn.,sha256-F3E8uxt2NfZab0w2-RglLMRXcSMQ0KtgHk0eQfgJvm8,"[{""attested"":""take"",""orthography"":""Standard""},{""attested"":""off"",""orthography"":""Standard""}]",Full,"Only the verb component is selected, but the Lemma and surface are the phrasal verb take off.",,
The report says [COVID-ish] twice.,sha256-Zw6Rd10jOjY__N0H7At9SBzY_484Lt59gm1WhSSvTl4,"[{""attested"":""COVID-ish"",""orthography"":""Standard""}]",Full,The hybrid nonce token is X with Foreign=Yes because it resists clean POS assignment in isolation.,,
The [saw] needs a new blade.,sha256-KHFC7qVUmIlI3ymMA5tJ2wdmpS5n6ewHQ9P5zP5ZMMU,"[{""attested"":""saw"",""orthography"":""Standard""}]",Full,Tool saw is a noun citation surface; the model can keep it distinct from the verb surface saw.,,
The sign advertised [acommodation] nearby.,sha256-eJ5CxGBc8TPc9WFN1nz7SgrKLUxpVcQmltogrjt30rE,"[{""attested"":""acommodation"",""orthography"":""Typo""}]",Full,Acommodation is represented as Typo with normalized surface accommodation; no edit-distance metadata exists.,,
The [Smiths] invited everyone over.,sha256-MwC55lZCKHqA3JYF9WShBuDEWR3BcDTA02_WkK-IDOo,"[{""attested"":""Smiths"",""orthography"":""Standard""}]",Full,Family-name plural is PROPN with inflectional number rather than a common noun.,,
The [twenty-first] attempt finally passed.,sha256-nqNsOTwNefLYDccnG_Otlq0UbE2MSE3cG5t8BRmBnfw,"[{""attested"":""twenty-first"",""orthography"":""Standard""}]",Full,The hyphenated ordinal modifying a noun is ADJ with ordinal number features.,,
The [wind] shifted before dawn.,sha256-rkP-ZiwbWVFE6jIDUHso1sygJYf4p4DH4m7OLEmfvfw,"[{""attested"":""wind"",""orthography"":""Standard""}]",Full,Wind as weather is a noun citation surface sharing spelling with the verb wind.,,
These [scissors] are blunt.,sha256-XbHioOTzFZcSpeycI6d6PG738BWpcwdPvAzO0h6qpAg,"[{""attested"":""scissors"",""orthography"":""Standard""}]",Full,Scissors uses Number=Ptan to stress plurale-tantum support.,,
[They] left their umbrella here.,sha256-cndqUOKHZha591-Dv5l0bfngladG-hi1BR83FP5-J90,"[{""attested"":""They"",""orthography"":""Standard""}]",Full,They is marked plural because the current English PRON schema has number but no singular-they semantic flag.,,
This exam was a [walk] in the park.,sha256-BuPMnsUoaFSMD8KVm0LnghZ_-YK0P0ume1cbtw4AuO8,"[{""attested"":""walk"",""orthography"":""Standard""},{""attested"":""in"",""orthography"":""Standard""},{""attested"":""the"",""orthography"":""Standard""},{""attested"":""park"",""orthography"":""Standard""}]",Full,,,
This is the [better] option.,sha256-0Ys2jc4muMn-c8WS0_Pdbq8iiHj1CckYwvihna6s4B8,"[{""attested"":""better"",""orthography"":""Standard""}]",Full,Irregular comparative better is attached to the Lemma good with Degree=Cmp.,,
Use [half] the flour first.,sha256-Ts7cN6NRxN0srTFUpHyfEXufIv6cM4AaJRXSY3hmV9w,"[{""attested"":""half"",""orthography"":""Standard""}]",Full,"Half before a noun phrase is DET with fractional number features, not NUM.",,
We [depend] on accurate labels.,sha256-mvOyEq1hRi3815faq9NO4-SyarEcFecHPx6fOFCydfw,"[{""attested"":""depend"",""orthography"":""Standard""},{""attested"":""on"",""orthography"":""Standard""}]",Full,Depend on uses hasGovPrep rather than phrasal because on is governed by the verb.,,
[Whose] keys are these?,sha256-N_cv0fa1qQgVgsHCAKT2YQfph2MQMvV5r3UbHsfENz4,"[{""attested"":""Whose"",""orthography"":""Standard""}]",Full,Whose is attached to who with possessive and interrogative Core Features plus genitive Surface case.,,
Yesterday I [read] the warning twice.,sha256-JHi6FvvZfvbPCzgQA_tugBINEplD3lD3Tn4LP69Idno,"[{""attested"":""read"",""orthography"":""Standard""}]",Full,Past-tense read is orthographically identical to the citation form; the distinction lives only in surfaceKind and inflectionalFeatures.,,
