sentence_markdown,normalizedSurface,grundform,family,kind
Abso-[bloody]-lutely not.,bloody,Grundform,Morpheme,Infix
"[By and large], the migration worked.",by and large,Grundform,Phraseme,Idiom
Could you [wind] the old clock?,wind,Undetermined,Lexeme,VERB
Do it [like] I showed you.,like,Grundform,Lexeme,SCONJ
[Does] this key open the archive?,does,Not Grundform,Lexeme,AUX
"During my [walk] in a park, I saw a squirrel.",walk,Undetermined,Lexeme,NOUN
"For this layout, [less is more].",less is more,Grundform,Phraseme,Aphorism
I [definately] saved the file.,definitely,Undetermined,Lexeme,ADV
I emailed [them] yesterday.,them,Not Grundform,Lexeme,PRON
I know [that] you tried.,that,Grundform,Lexeme,SCONJ
I [saw] the comet through binoculars.,saw,Not Grundform,Lexeme,VERB
"If I [were] you, I would wait.",were,Not Grundform,Lexeme,AUX
I'[ll] call when I arrive.,ll,Grundform,Morpheme,Clitic
Is [OK] still acceptable here?,OK,Grundform,Lexeme,INTJ
Mira finally [spilled] the beans.,spilled the beans,Not Grundform,Phraseme,Idiom
"Move [that] chair, please.",that,Undetermined,Lexeme,DET
"[My bad], I merged the wrong branch.",my bad,Grundform,Phraseme,DiscourseFormula
"[No worries], I already fixed it.",no worries,Grundform,Phraseme,DiscourseFormula
Please [lead] the discussion today.,lead,Undetermined,Lexeme,VERB
Please [look] it up before replying.,look up,Undetermined,Lexeme,VERB
"Remember, the [early bird] catches the worm.",the early bird catches the worm,Grundform,Phraseme,Proverb
[Running] before breakfast clears my head.,running,Not Grundform,Lexeme,VERB
[See] you later at the station.,see you later,Grundform,Phraseme,DiscourseFormula
Send the [e-mail] before noon.,e-mail,Undetermined,Lexeme,NOUN
She gave [up] after midnight.,gave up,Not Grundform,Lexeme,VERB
She performed [best] under pressure.,best,Not Grundform,Lexeme,ADV
Tag the issue with [#] before the number.,#,Not Grundform,Lexeme,SYM
That answer was [un]believable.,un,Grundform,Morpheme,Prefix
[That] was unexpected.,that,Undetermined,Lexeme,PRON
The [bio]reactor failed overnight.,bio,Grundform,Morpheme,Root
The [data] are still inconsistent.,data,Not Grundform,Lexeme,NOUN
The estimate was thirty[ish] minutes.,ish,Grundform,Morpheme,Suffix
The note was [written] in pencil.,written,Not Grundform,Lexeme,VERB
The old laptop finally [kicked] the bucket.,kicked the bucket,Not Grundform,Phraseme,Idiom
The pipe contained traces of [lead].,lead,Undetermined,Lexeme,NOUN
The plane will [take] off at dawn.,take off,Undetermined,Lexeme,VERB
The report says [COVID-ish] twice.,COVID-ish,Grundform,Lexeme,X
The [saw] needs a new blade.,saw,Undetermined,Lexeme,NOUN
The sign advertised [acommodation] nearby.,accommodation,Undetermined,Lexeme,NOUN
The [Smiths] invited everyone over.,Smiths,Not Grundform,Lexeme,PROPN
The [twenty-first] attempt finally passed.,twenty-first,Undetermined,Lexeme,ADJ
The [wind] shifted before dawn.,wind,Undetermined,Lexeme,NOUN
These [scissors] are blunt.,scissors,Grundform,Lexeme,NOUN
[They] left their umbrella here.,they,Undetermined,Lexeme,PRON
This exam was a [walk] in the park.,walk in the park,Grundform,Phraseme,Idiom
This is the [better] option.,better,Not Grundform,Lexeme,ADJ
Use [half] the flour first.,half,Undetermined,Lexeme,DET
We [depend] on accurate labels.,depend on,Undetermined,Lexeme,VERB
[Whose] keys are these?,whose,Not Grundform,Lexeme,PRON
Yesterday I [read] the warning twice.,read,Not Grundform,Lexeme,VERB
