sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
[איזה] רחוב זה?,sha256-BiQ55tYvqKXmEZp_kGAFQjgnkOiNeF4ODRoW7t-BAwU,"[{""attested"":""איזה"",""orthography"":""Standard""}]",Full,איזה is an interrogative determiner rather than a pronoun because it modifies רחוב.,,
אין [חדש] תחת השמש.,sha256-AuozEsdxaJ8K9ze4vNF3_wPK3GddCKpcDdof8Jr5odU,"[{""attested"":""אין"",""orthography"":""Standard""},{""attested"":""חדש"",""orthography"":""Standard""},{""attested"":""תחת"",""orthography"":""Standard""},{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""השמש"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""שמש"",""surface"":""שמש""}]},""component"":0},{""attested"":""שמש"",""orthography"":""Fused"",""fusion"":{""spelling"":""השמש"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""שמש"",""surface"":""שמש""}]},""component"":1}]",Full,The Full Attestation records every member of the proverb occurrence; the docs review span on חדש does not make it an adjective Surface.,,
[אין] מקום פנוי.,sha256-GzxzbOCwXKUP7S4G26IwFZJinjCixQpzavMqNG110x4,"[{""attested"":""אין"",""orthography"":""Standard""}]",Full,"אין is the negative existential verb; its negativity is lexical here, not an inflectional polarity feature.",,
אל [תלך] לבד.,sha256-RWz-HqOVs3JW86U4mmSv1iMQNSJxkaY2AgX40LBHcQI,"[{""attested"":""תלך"",""orthography"":""Standard""}]",Full,The verb carries polarity Neg because the negative-command context matters even though אל is separate.,,
[אמא] התקשרה.,sha256-C_f01Osv5_E5Xcqj5EX56FlM7Zf3tlZ5QIR9gjuMjcM,"[{""attested"":""אמא"",""orthography"":""Standard""}]",Full,"This captures an accepted spelling variant: selected spelling אמא, normalized surface אימא, so `surface.spelling: ""Variant""` is the right mark.",,
אמרת [ש]תבוא.,sha256-CR4Z0rb0U9qrVRRlkub-cxTkPUBnPel7EINm_ru9dh8,"[{""attested"":""ש"",""orthography"":""Fused"",""fusion"":{""spelling"":""שתבוא"",""components"":[{""span"":""ש"",""surface"":""ש""},{""span"":""תבוא"",""surface"":""תבוא""}]},""component"":0}]",Full,"ש is the SCONJ that introducing the complement clause, its own Lexeme and the Fused first piece of שתבוא.",,
אנחנו [הולכים] עכשיו.,sha256-LjPuCwcLN3SLXb5k4phrWhiXE1k5SVj1GS8mQS_MbvQ,"[{""attested"":""הולכים"",""orthography"":""Standard""}]",Full,Present-like verbal forms are represented as verbForm Part rather than tense Pres.,,
[אני] לא בטוחה.,sha256-9HYKFAyR5BWDRrXLwrVXRkODgij7J2PGbZkP63h4mAc,"[{""attested"":""אני"",""orthography"":""Standard""}]",Full,The first-person pronoun has person and number but no gender feature.,,
"אפשר מים, [בבקשה]?",sha256-eBOaoyFCcPuD7ccw5Gl0YcedFlAHL9RzjFW0eWLnfMk,"[{""attested"":""בבקשה"",""orthography"":""Standard""}]",Full,בבקשה is treated as a request politeness formula despite containing the noun בקשה.,,
[בואו] לכאן.,sha256-BnuryQTjws26KZWVV-RIFJ14Dzak7HUxoxNEGZp211I,"[{""attested"":""בואו"",""orthography"":""Standard""}]",Full,בואו is an imperative plural form with mood Imp and no tense.,,
[בתי] הספר נסגרו מוקדם.,sha256-T_-8Ib3qdh9NdZXooVZtkwLMQC4IYuNlngygvFuS3jA,"[{""attested"":""בתי"",""orthography"":""Standard""}]",Full,"בתי is the construct plural of בית, using definite Cons and number Plur.",,
