sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
Abso-[bloody]-lutely not.,"Selection,sentence_Q95_kgXeerF1B4Yyb4,2",Expletive insertion is classified as Infix to stress an edge case that is morphologically debatable.,,
"[By and large], the migration worked.","Selection,sentence_xztlu_Abq9IEnLf7Gi,0",Sentence-initial capitalization is preserved only in clicked Text.,,
Could you [wind] the old clock?,"Selection,sentence_TfHrqD0ESu7TaplpiX,4",Wind as a verb is modeled separately from wind as weather; pronunciation contrast is outside the object.,,
Do it [like] I showed you.,"Selection,sentence_gU2tt-YrhhwxU1J3kY,4",Like as a subordinator is marked SCONJ with vernacular style because many registers prefer as.,,
[Does] this key open the archive?,"Selection,sentence_U9DwIGzOa8TSiZ73Jt,0",Sentence-initial Does keeps normalizedSurface lowercase while clicked Text preserves casing.,,
"During my [walk] in a park, I saw a squirrel.","Selection,sentence_30rQNDvo3AIvQR_5LM,4",,,
"For this layout, [less is more].","Selection,sentence_ja0FGJPF0l6qXv3O93,7",Less is more is treated as an aphorism rather than a proverb because it states a maxim without narrative proverb form.,,
I [definately] saved the file.,"Selection,sentence_rD417V7LqeMN3YEjML,2","Definately is a typo of definitely; mark only `selectedOrthography: ""Typo""` here, not a spelling variant, because the intended resolved surface is canonical.",,
I emailed [them] yesterday.,"Selection,sentence_S3Q0QGiVYsBLGgX7oL,4",Them is an accusative surface of they; singular-they readings are not separately encoded.,,
I know [that] you tried.,"Selection,sentence_i2doz2xDyLuG5Kvs-t,4","Complementizer that is SCONJ; no clause-type feature exists, so POS carries the distinction.",,
I [saw] the comet through binoculars.,"Selection,sentence_xqmfb2cU0Pml0zRWFX,2","Saw is the past finite surface of see, not the citation noun saw.",,
"If I [were] you, I would wait.","Selection,sentence_Fk-lxl-mt6VgwGSVqs,4",Were in if I were you is AUX with Mood=Sub; the schema allows mood without forcing person or number.,,
I'[ll] call when I arrive.,"Selection,sentence_AIBHcb3olXWJJxUjSM,2","The apostrophe is outside the selected substring, so `surface.spelling: ""Variant""` marks the mismatch against the clitic lemma.",,
Is [OK] still acceptable here?,"Selection,sentence_i8ar0bQO1a7zXqRKBE,2",OK is treated as a standard spelling variant of the canonical lemma okay.,,
Mira finally [spilled] the beans.,"Selection,sentence_Rz0u0i6SJJdZhE_oqg,4","Inflected spilled is selected inside an idiom, but Phraseme currently has citation surfaces only, so this is a partial selection of the citation form.",,
"Move [that] chair, please.","Selection,sentence_bZLBsv16dQ-Fsg5JOh,2","That before a noun is DET, distinct from pronominal and complementizer that.",,
"[My bad], I merged the wrong branch.","Selection,sentence_-V5jdtFvL5ElKYMbbY,0","My bad is categorized by discourse function Apology, not by the adjective bad.",,
"[No worries], I already fixed it.","Selection,sentence_Lv4D00_mEusniYUwFn,0",No worries is a discourse formula rather than compositional negation plus noun.,,
Please [lead] the discussion today.,"Selection,sentence_w4c7onQ-_-_4Suv0xC,2",Verb lead is kept separate from noun lead despite identical spelling.,,
Please [look] it up before replying.,"Selection,sentence_2LCAEi1T9sTRgWEpBh,2",Discontinuous phrasal verb look ... up is approximated as a partial selection of the citation surface look up.,,
"Remember, the [early bird] catches the worm.","Selection,sentence_5IC-DHAGLIh_JPaQMK,5",Partial proverb selection tests whether the model recovers the full proverb from a salient fragment.,,
[Running] before breakfast clears my head.,"Selection,sentence_M-BOWUBrPVR33isPve,0","Gerund running is a VERB inflection, not a noun, despite occupying a nominal clause position.",,
[See] you later at the station.,"Selection,sentence_Gjlc4dcMniQi7bbArN,0","Only See is selected, but the intended formula is see you later.",,
Send the [e-mail] before noon.,"Selection,sentence_ktTxTklFP4e7lnGa0k,4","Hyphenated e-mail is a standard variant of email, not a typo.",,
She gave [up] after midnight.,"Selection,sentence_xIBOExLYf7d656tQk5,4",Clicking the particle resolves the complete phrasal-verb occurrence `gave up`; the click is one member of that Surface.,,
She performed [best] under pressure.,"Selection,sentence_jVuCQDb4XpaPPvLGwr,4","Best is modeled as a superlative adverb here, not an adjective, because it modifies performed.",,
Tag the issue with [#] before the number.,"Selection,sentence_DkaQijcDKxy8FR-q4G,8","The symbol surface # points to a worded canonical lemma, number sign.",,
That answer was [un]believable.,"Selection,sentence_lohX58SH3DniQsW1An,6","The canonical prefix contains a hyphen, but the selected substring inside a word does not, so it is marked Variant and Partial.",,
[That] was unexpected.,"Selection,sentence_DKVDt4T1RxtcaY2dPn,0",Standalone that is PRON; it shares its surface spelling with the DET and SCONJ examples.,,
The [bio]reactor failed overnight.,"Selection,sentence_yyuSvaqjy9k_uaYxhC,2","Bio is modeled as a bound root in bioreactor, not as a free clipping of biography.",,
