sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
[איזה] רחוב זה?,"Selection,sentence_15XuoZ3qMZpEjVESIC,0",איזה is an interrogative determiner rather than a pronoun because it modifies רחוב.,,
אין [חדש] תחת השמש.,"Selection,sentence_hcaAWFc90sl1C2DMuC,2","This is a partial selection against a proverb, not an adjective surface.",,
[אין] מקום פנוי.,"Selection,sentence_tvfOGNGeomuY9EyyIh,0","אין is the negative existential verb; its negativity is lexical here, not an inflectional polarity feature.",,
אל [תלך] לבד.,"Selection,sentence_JFtPA8Ee2kq3-PtuZm,2",The verb carries polarity Neg because the negative-command context matters even though אל is separate.,,
[אמא] התקשרה.,"Selection,sentence_uPz_W_iaE0XEzkiP0E,0","This captures an accepted spelling variant: selected spelling אמא, normalized surface אימא, so `surface.spelling: ""Variant""` is the right mark.",,
אמרת [ש]תבוא.,"Selection,sentence_xRSNkGXyCoPAX-FjnW,2",ש is modeled as the bound complementizer or relative-marker prefix morpheme.,,
אנחנו [הולכים] עכשיו.,"Selection,sentence_GrvdiB3mlfIECds4mg,2",Present-like verbal forms are represented as verbForm Part rather than tense Pres.,,
[אני] לא בטוחה.,"Selection,sentence_cU6JbsMAvHaK_-EuWk,0",The first-person pronoun has person and number but no gender feature.,,
"אפשר מים, [בבקשה]?","Selection,sentence_Ox9Xd6p51wpBmhiNR-,5",בבקשה is treated as a request politeness formula despite containing the noun בקשה.,,
[בואו] לכאן.,"Selection,sentence_lf_ogzx6FOvszUPkC6,0",בואו is an imperative plural form with mood Imp and no tense.,,
[בתי] הספר נסגרו מוקדם.,"Selection,sentence_P-2V-8J4Cb2hAg1tWG,0","בתי is the construct plural of בית, using definite Cons and number Plur.",,
ה[אוכל] כבר מוכן.,"Selection,sentence_Qq2cgAF698r3GS_HS7,1","אוכל is the noun food here, separated from the future-verb homograph by lemma and POS.",,
