sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
[איזה] רחוב זה?,"Selection,איזה,Surface,Inflection,איזה,gender=Masc|number=Sing,Lemma,he,Lexeme,DET,איזה,❓,pronType=Int",איזה is an interrogative determiner rather than a pronoun because it modifies רחוב.,,
אין [חדש] תחת השמש.,"Selection,חדש,coverage=Partial,Surface,Citation,אין חדש תחת השמש,Lemma,he,Phraseme,Proverb,אין חדש תחת השמש,☀️,","This is a partial selection against a proverb, not an adjective surface.",,
[אין] מקום פנוי.,"Selection,אין,Surface,Citation,אין,Lemma,he,Lexeme,VERB,אין,❌,hebExistential=Yes","אין is the negative existential verb; its negativity is lexical here, not an inflectional polarity feature.",,
אל [תלך] לבד.,"Selection,תלך,Surface,Inflection,תלך,gender=Masc|number=Sing|person=2|polarity=Neg|tense=Fut,Lemma,he,Lexeme,VERB,הלך,🚶,hebBinyan=PAAL",The verb carries polarity Neg because the negative-command context matters even though אל is separate.,,
[אמא] התקשרה.,"Selection,אמא,spelling=Variant,Surface,Citation,אימא,Lemma,he,Lexeme,NOUN,אימא,👩,gender=Fem","This captures an accepted spelling variant: selected spelling אמא, normalized surface אימא, so `selectionFeatures.spelling: ""Variant""` is the right mark.",,
אמרת [ש]תבוא.,"Selection,ש,Surface,Citation,ש,Lemma,he,Morpheme,Prefix,ש,🔗,",ש is modeled as the bound complementizer or relative-marker prefix morpheme.,,
אנחנו [הולכים] עכשיו.,"Selection,הולכים,Surface,Inflection,הולכים,gender=Masc|number=Plur|verbForm=Part,Lemma,he,Lexeme,VERB,הלך,🚶,hebBinyan=PAAL",Present-like verbal forms are represented as verbForm Part rather than tense Pres.,,
[אני] לא בטוחה.,"Selection,אני,Surface,Inflection,אני,number=Sing|person=1,Lemma,he,Lexeme,PRON,אני,🙋,pronType=Prs",The first-person pronoun has person and number but no gender feature.,,
"אפשר מים, [בבקשה]?","Selection,בבקשה,Surface,Citation,בבקשה,Lemma,he,Phraseme,DiscourseFormula,בבקשה,🤲,",בבקשה is treated as a request politeness formula despite containing the noun בקשה.,,
[בואו] לכאן.,"Selection,בואו,Surface,Inflection,בואו,mood=Imp|number=Plur|person=2,Lemma,he,Lexeme,VERB,בוא,👋,hebBinyan=PAAL",בואו is an imperative plural form with mood Imp and no tense.,,
[בתי] הספר נסגרו מוקדם.,"Selection,בתי,Surface,Inflection,בתי,definite=Cons|number=Plur,Lemma,he,Lexeme,NOUN,בית,🏠,gender=Masc","בתי is the construct plural of בית, using definite Cons and number Plur.",,
ה[אוכל] כבר מוכן.,"Selection,אוכל,Surface,Citation,אוכל,Lemma,he,Lexeme,NOUN,אוכל,🍲,gender=Masc","אוכל is the noun food here, separated from the future-verb homograph by lemma and POS.",,
"הבטיחו דרמה, אבל [לא דובים ולא יער].","Selection,לא דובים ולא יער,Surface,Citation,לא דובים ולא יער,Lemma,he,Phraseme,Idiom,לא דובים ולא יער,🫥,","לא דובים ולא יער is classified as an idiom; it is proverb-like, but used here as a fixed idiomatic denial.",,
[ה]בית פתוח.,"Selection,ה,Surface,Citation,ה,Lemma,he,Lexeme,DET,ה,🔎,pronType=Art","The standalone article is modeled as DET with pronType Art, not as a noun definiteness feature.",,
"הדו""ח [נכתב] אתמול.","Selection,נכתב,Surface,Inflection,נכתב,gender=Masc|number=Sing|person=3|tense=Past|voice=Pass,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=NIFAL","נכתב is the NIFAL passive-like form, so it carries voice Pass.",,
הוא [התכתב] עם המרצה.,"Selection,התכתב,Surface,Inflection,התכתב,gender=Masc|number=Sing|person=3|tense=Past|voice=Mid,Lemma,he,Lexeme,VERB,כתב,💬,hebBinyan=HITPAEL",התכתב is analyzed as HITPAEL with voice Mid to expose reflexive or reciprocal middle behavior.,,
הוא [כתב] מהר.,"Selection,כתב,Surface,Inflection,כתב,gender=Masc|number=Sing|person=3|tense=Past,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=PAAL","כתב is the verb inflection here, distinct from both the root morpheme and noun-like uses.",,
"הוא שירת ב[צה""ל].","Selection,""צה""""ל"",Surface,Citation,""צה""""ל"",Lemma,he,Lexeme,PROPN,""צה""""ל"",🪖,abbr=Yes|gender=Masc","צה""ל is an abbreviated proper noun with the quote mark retained and abbr Yes.",,
החדרים [גדולים].,"Selection,גדולים,Surface,Inflection,גדולים,gender=Masc|number=Plur,Lemma,he,Lexeme,ADJ,גדול,📏,",גדולים is a masculine plural adjective inflection.,,
היא [כתבה] מכתב קצר.,"Selection,כתבה,Surface,Inflection,כתבה,gender=Fem|number=Sing|person=3|tense=Past,Lemma,he,Lexeme,VERB,כתב,✍️,hebBinyan=PAAL",כתבה is the past feminine-singular verb from כתב despite the homographic noun article.,,
