sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
[Am] nächsten Morgen war alles anders.,sha256-uV68l6WdsNKVXFvQA0sAnWPIlE51miGA9cxHDHXOcDc,"[{""attested"":""Am"",""orthography"":""Standard""}]",Full,"Am is modeled as Construction/Fusion, parallel to zum and ins. Sentence-initial capitalization is treated as canonical here, and the emoji is for am itself rather than the surrounding temporal phrase.",Do not mark sentence-initial capitalization alone as a spelling variant. `Am` is a Standard click on a Canonical Surface.,true
Am [nächsten] Morgen war alles anders.,sha256-NDmLXKgsS1kVGozyiMdUZP2XoZSm6-qfFcbWrjhgO3k,"[{""attested"":""nächsten"",""orthography"":""Standard""}]",Full,"Nächsten is treated here as an inflected form of the lexical adjective nächst in its temporal 'next/upcoming' use, not as the superlative of nah.","Do not force this row under lemma nah with degree Sup just because nächsten is historically related to nah. In this attestation the learner-facing meaning is temporal 'next', so the earlier mistakes were using canonicalLemma nah, degree Sup, and a proximity-style emoji instead of modeling lexical nächst directly.",true
Am nächsten Morgen war alles [anders].,sha256-h8zijhTbgU6TFA8JTKlpqwmC5U7g_M4a2uFcYFgcVwg,"[{""attested"":""anders"",""orthography"":""Standard""}]",Full,"Anders is treated as a citation-shaped adjective in predicative use because it is the complement of sein and predicates over alles, not over the event. Even though it can feel adverb-like in English glossing, dumling's German patterns classify comparable predicative forms like tot and entzwei as ADJ rather than ADV.",,true
Auf der Karte sind drei [Seen] eingezeichnet.,sha256-BFSV4sBppb5_tUTjE6EoBBUyMkGZwU6r-HModmy9sbo,"[{""attested"":""Seen"",""orthography"":""Standard""}]",Full,Plural noun with masculine lemma See; the capitalized surface is normalized by the encoder.,,true
Auf der Karte sind drei Seen [eingezeichnet].,sha256-z4cILuA2QDXe2R6-b-k6fLL86KwAIlh__WNvoU97oiA,"[{""attested"":""eingezeichnet"",""orthography"":""Standard""}]",Full,"Eingezeichnet is treated as the perfect participle of separable einzeichnen. Under the current German rule, attributive participles like eingezeichneten in die eingezeichneten Seen go to ADJ, but this bare predicative Partizip-II form stays VERB despite the result-state reading.",,true
Bei dieser Formel verstehe ich nur [Bahnhof].,sha256-bNQ01ZIQWknd7O3Uq2iU2rOG-OQwn60vNr91xalwGU8,"[{""attested"":""verstehe"",""orthography"":""Standard""},{""attested"":""nur"",""orthography"":""Standard""},{""attested"":""Bahnhof"",""orthography"":""Standard""}]",Full,Clicking Bahnhof resolves the complete discontinuous idiom occurrence `verstehe … nur Bahnhof`; `ich` lies between participating Text segments but is not a Surface member.,,true
Bitte folgen Sie [Ihrem] Ansprechpartner.,sha256--3tz0uKVAkIIM40P2paH-uAp4iTgcbpupJbVhRF619g,"[{""attested"":""Ihrem"",""orthography"":""Standard""}]",Full,"The capitalized polite possessive is encoded as DET with person 2, polite Form, and poss Yes.","Do not add gender[psor] or number[psor] unless the attested form or context actually disambiguates them. For polite Ihrem here, the earlier mistake was adding possessor features that are not recoverable from the attestation.",true
Damit triffst du den [Nagel] auf den Kopf.,sha256-dOPsJKTZGdAyyyb4337XCJO5JN26pK3ZFmc9L3gk1pU,"[{""attested"":""den"",""orthography"":""Standard""},{""attested"":""Nagel"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""},{""attested"":""den"",""orthography"":""Standard""},{""attested"":""Kopf"",""orthography"":""Standard""}]",Full,The inflected sentence form points to the citation phraseme; the attested member is only an internal component.,,true
Das ist [nicht] mein Problem.,sha256-kUJ4XMZoHBWiU8OMe1cefumv5JKPOJv0h9DNnEvXod0,"[{""attested"":""nicht"",""orthography"":""Standard""}]",Full,Nicht is modeled as PART with polarity Neg rather than as an adverb.,,true
Das ist schwer [zu] erklären.,sha256-AM6XTdswTot22o3lQNbsiyKE6rHv31BaUmUSZY00aJ4,"[{""attested"":""zu"",""orthography"":""Standard""}]",Full,"Infinitival zu is PART with partType Inf, distinct from prepositional zu.",,true
