sentence_markdown,normalizedFullSurface,surfaceKind,lemmaKind,lemmaSubKind
[Am] nächsten Morgen war alles anders.,am,Citation,Construction,Fusion
Am [nächsten] Morgen war alles anders.,nächsten,Inflection,Lexeme,ADJ
Am nächsten Morgen war alles [anders].,anders,Citation,Lexeme,ADJ
Auf der Karte sind drei [Seen] eingezeichnet.,Seen,Inflection,Lexeme,NOUN
Auf der Karte sind drei Seen [eingezeichnet].,eingezeichnet,Inflection,Lexeme,VERB
Bei dieser Formel verstehe ich nur [Bahnhof].,nur Bahnhof verstehen,Citation,Phraseme,Idiom
Bitte folgen Sie [Ihrem] Ansprechpartner.,Ihrem,Inflection,Lexeme,DET
Damit triffst du den [Nagel] auf den Kopf.,den Nagel auf den Kopf treffen,Citation,Phraseme,Idiom
Das ist [nicht] mein Problem.,nicht,Citation,Lexeme,PART
Das ist schwer [zu] erklären.,zu,Citation,Lexeme,PART
Das [muss] heute noch raus.,muss,Inflection,Lexeme,VERB
Das muss heute noch [raus].,raus,Citation,Lexeme,ADV
Das [Rennen] hat Spaß gemacht.,Rennen,Citation,Lexeme,NOUN
Das rote [Band] lag auf dem Geschenk.,Band,Citation,Lexeme,NOUN
Das rote Band [lag] auf dem Geschenk.,lag,Inflection,Lexeme,VERB
Das rote Band lag [auf] dem Geschenk.,auf,Citation,Lexeme,ADP
Das [Schloss] an der Tür klemmt.,Schloss,Citation,Lexeme,NOUN
Das [Schloss] über dem Fluss wurde renoviert.,Schloss,Citation,Lexeme,NOUN
Das [Un]- in Unkosten wirkt historisch irritierend.,un-,Citation,Morpheme,Prefix
Das [wäre] fast schief gewesen.,wäre,Inflection,Lexeme,AUX
Das wäre [fast] schief gewesen.,fast,Citation,Lexeme,ADV
Das wäre fast schief [gewesen].,gewesen,Inflection,Lexeme,AUX
Das wäre schön [gewesen].,gewesen,Inflection,Lexeme,AUX
"Der Autor, [dessen] Buch fehlt, wartet draußen.",dessen,Inflection,Lexeme,PRON
Der Brief ist schon [geschrieben].,geschrieben,Inflection,Lexeme,VERB
Der dritte [Band] ist längst vergriffen.,Band,Citation,Lexeme,NOUN
Der Fährmann hat uns [übergesetzt].,übergesetzt,Inflection,Lexeme,VERB
Der [geschriebene] Brief lag auf dem Tisch.,geschriebene,Inflection,Lexeme,ADJ
Der hockte da im grünen Gras; dem [floß] der Kaffee auf die Nas.,floß,Inflection,Lexeme,VERB
Der hockte da im grünen Gras; dem floß der Kaffee [auf] die Nas.,auf,Citation,Lexeme,ADP
