sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
Abso-[bloody]-lutely not.,"Selection,bloody,coverage=Partial,Surface,Citation,bloody,Lemma,en,Morpheme,Infix,bloody,💢,",Expletive insertion is classified as Infix to stress an edge case that is morphologically debatable.,,
"[By and large], the migration worked.","Selection,By and large,Surface,Citation,by and large,Lemma,en,Phraseme,Idiom,by and large,📌,",Sentence-initial capitalization is preserved only in spelledSelection.,,
Could you [wind] the old clock?,"Selection,wind,Surface,Citation,wind,Lemma,en,Lexeme,VERB,wind,🕰️,",Wind as a verb is modeled separately from wind as weather; pronunciation contrast is outside the object.,,
Do it [like] I showed you.,"Selection,like,Surface,Citation,like,Lemma,en,Lexeme,SCONJ,like,↔️,style=Vrnc",Like as a subordinator is marked SCONJ with vernacular style because many registers prefer as.,,
[Does] this key open the archive?,"Selection,Does,Surface,Inflection,does,mood=Ind|number=Sing|person=3|tense=Pres|verbForm=Fin,Lemma,en,Lexeme,AUX,do,❓,",Sentence-initial Does keeps normalizedFullSurface lowercase while spelledSelection preserves casing.,,
"During my [walk] in a park, I saw a squirrel.","Selection,walk,Surface,Citation,walk,Lemma,en,Lexeme,NOUN,walk,🚶,",,,
"For this layout, [less is more].","Selection,less is more,Surface,Citation,less is more,Lemma,en,Phraseme,Aphorism,less is more,➖,",Less is more is treated as an aphorism rather than a proverb because it states a maxim without narrative proverb form.,,
I [definately] saved the file.,"Selection,definately,orthography=Typo,Surface,Citation,definitely,Lemma,en,Lexeme,ADV,definitely,✅,","Definately is a typo of definitely; mark only `selectionFeatures.orthography: ""Typo""` here, not a spelling variant, because the intended resolved surface is canonical.",,
I emailed [them] yesterday.,"Selection,them,Surface,Inflection,them,case=Acc|number=Plur,Lemma,en,Lexeme,PRON,they,👥,person=3|pronType=Prs",Them is an accusative surface of they; singular-they readings are not separately encoded.,,
I know [that] you tried.,"Selection,that,Surface,Citation,that,Lemma,en,Lexeme,SCONJ,that,🔗,","Complementizer that is SCONJ; no clause-type feature exists, so POS carries the distinction.",,
I [saw] the comet through binoculars.,"Selection,saw,Surface,Inflection,saw,tense=Past|verbForm=Fin,Lemma,en,Lexeme,VERB,see,👀,","Saw is the past finite surface of see, not the citation noun saw.",,
"If I [were] you, I would wait.","Selection,were,Surface,Inflection,were,mood=Sub|tense=Past|verbForm=Fin,Lemma,en,Lexeme,AUX,be,🧩,",Were in if I were you is AUX with Mood=Sub; the schema allows mood without forcing person or number.,,
I'[ll] call when I arrive.,"Selection,ll,coverage=Partial|spelling=Variant,Surface,Citation,ll,Lemma,en,Morpheme,Clitic,'ll,🔮,","The apostrophe is outside the selected substring, so `selectionFeatures.spelling: ""Variant""` marks the mismatch against the clitic lemma.",,
Is [OK] still acceptable here?,"Selection,OK,spelling=Variant,Surface,Citation,ok,Lemma,en,Lexeme,INTJ,okay,👌,",OK is treated as a standard spelling variant of the canonical lemma okay.,,
Mira finally [spilled] the beans.,"Selection,spilled,coverage=Partial,Surface,Citation,spill the beans,Lemma,en,Phraseme,Idiom,spill the beans,🤫,","Inflected spilled is selected inside an idiom, but Phraseme currently has citation surfaces only, so this is a partial selection of the citation form.",,
"Move [that] chair, please.","Selection,that,Surface,Citation,that,Lemma,en,Lexeme,DET,that,👉,pronType=Dem","That before a noun is DET, distinct from pronominal and complementizer that.",,
"[My bad], I merged the wrong branch.","Selection,My bad,Surface,Citation,my bad,Lemma,en,Phraseme,DiscourseFormula,my bad,🙏,discourseFormulaRole=Apology","My bad is categorized by discourse function Apology, not by the adjective bad.",,
"[No worries], I already fixed it.","Selection,No worries,Surface,Citation,no worries,Lemma,en,Phraseme,DiscourseFormula,no worries,🙂,discourseFormulaRole=Acknowledgment",No worries is a discourse formula rather than compositional negation plus noun.,,
